id,level_of_flood
019B0E46-B7AF-4FA8-BC5D-02C4166B3ECD,0
019B9022-BCE8-4522-9721-5A32F94ED1F1,0
019C1722-813F-482A-A6BA-8DB3C9A644B1,2
019CDB55-AA07-4A98-A46F-02DB764C8244,2
019EAC14-67B3-4B49-BAD7-61182DBE9236,0
01A1F030-7B06-4F7A-88FE-2A969BAC271E,0
01A4EBB9-80F1-4BE6-A96C-99C4022EC987,0
01A5EE03-BD6D-42A5-8064-0FF5AE64F119,0
01A67E00-5A4D-4297-BA61-A7792999EAD8,0
01A8C377-0912-4371-BBC8-62FC1783A2E4,0
01A96F3D-37AD-4DA1-882F-7E1E8726E017,0
01AB3CB1-49B8-4556-A1F7-4E2F82917350,0
01ABBDC3-351D-4BF4-A181-D4F35F838AA1,0
01AFB829-ADEE-4C66-890C-E9E764A3DB72,3
01B0248D-AC54-48DB-8EEB-7137BC8C5E5C,3
01B1176C-2FAA-4A0F-AB44-4F2FCA2FA982,0
01B5F6E3-5211-4923-8094-6A5C779C6CAD,0
01B87F36-E23D-4258-B891-5B3B07000081,0
01BA9DAE-3DD2-45AA-A66D-52B0A3F6C0CB,0
01C0B5D0-92AB-4C64-8DB1-28D2BA7843C1,2
01C11E97-14C8-4CBD-A160-46A7FFBB9E47,2
01C3EFB9-DA26-4F3A-85A0-DCC2F25F9155,0
01C71BCC-1DC6-4E72-BDE2-BCC015A2A315,0
01CCCBF0-22C7-432A-969D-687848F04DD1,0
01CD55E8-4355-409F-8B0E-B83676716F84,0
01CE449A-7660-4A92-B5E5-89C9DBE356CA,0
01CFEC8B-2852-4C6D-B2B5-7B9A12BB2E18,0
01D0EAC9-BA3F-4654-AC97-8A952E9A64DC,0
01D16413-B38B-432E-9A9B-0D25AC86ACDC,2
01D4D40E-27F3-4787-A463-C0837D5E98A6,0
01DC4605-F16B-4745-9816-D73192DEBD4A,2
01DC6EF8-056F-4DE8-ABEC-F926CB8FA675,0
01DDFE5E-13CC-40DE-A274-50503F2B30BF,2
01DE1A4D-5057-42C1-A050-3EE56D632DE4,0
01DE312D-3F69-4CAF-8CCF-4CF410B58CA0,0
01DEA018-D50C-4595-A909-FFD932DE89C4,0
01E01F4C-330E-4F7A-A54C-605D7B113471,0
01E24B98-14AE-47D3-9EDE-07077A346470,0
01E27F7F-3923-4053-BEF8-E994242E1EAE,0
01E36D51-ED8D-470C-94BD-07B4E324C38A,0
01E3E3DC-7166-4555-A109-0A9A420BD719,0
01E462D5-69EF-4D2F-9624-09710EA47B25,0
01E57F55-7F30-44E2-8077-96CB84EDFE06,0
01E9B725-E865-4A93-BBF4-ABE7EC02517E,0
01EB435A-C0B3-4BC0-96B8-DACD3A0FDDF8,0
01ED5A9A-9BBB-4520-B45A-283304FD626B,0
01EFF57B-1C3D-42D2-9B8D-E1C74ABE08AC,0
01F0FF43-4A6B-4380-BFAA-94AA791D29F7,0
01F2F460-6D73-48E0-BE8C-CD77BBC57826,0
01F3159D-DCE9-4584-96C0-0B7E8999818C,0
01F3B3CD-EE37-4C1B-8DF0-67DD1E8E172D,0
01F459CA-4E13-42B4-8EDC-35F46E7E6EE5,0
01F5B929-65D3-44FB-96FF-2CAA6FC6BC77,0
01F76CE0-4592-4578-A68F-C91572777C9C,2
01FA8E0D-B3B6-4587-BC52-646CA95E0777,0
01FACC8C-ADDE-48C4-8D41-DA568F1D2B9D,0
01FBC721-C4B4-4020-B547-73B510F653B5,0
01FC622E-CF3A-4824-A163-2B28C4D9C82E,0
01FECFF5-D9C8-4403-AFF6-7FDAD3E40EA6,0
01FF4F5E-5B82-42AA-9477-6F202AD9CDB1,0
02055913-8383-429B-B4D5-0EA5F0BD7462,0
02087E2E-E47B-4A7B-A36C-9D9EB5B44075,0
0208FEE6-E63D-4B76-B1AE-A2067FD19FFB,0
0209CCDC-FF99-444F-9287-231BA5196382,3
020EC38E-42F6-44CC-BD37-DA27D96C47B6,3
020F3F1D-76A7-433E-85FE-D869A0AD49F3,0
020F5BBF-A3BB-4B34-95B3-FA896AC457C1,3
021184DE-CC1C-41EE-A8E4-606D66E00224,0
02150BBE-6A97-48D3-A9FE-A4BB8AEFC6DF,0
0217AD2D-4D8F-45C1-8EF8-130A7ED5004B,2
021C8296-AB1D-490D-AF75-3A5EB3374865,0
021CE584-C6C0-4F53-81DE-0685FE83A0D5,0
